DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_wrp_row	  1	  3515067	 45013315	 10	   253.398	     1.061	     0.000	 21939.779	     0.000	    16.771
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_dyn_row	  1	  3515067	 45013315	 10	   267.731	     1.060	     0.000	 23371.942	     0.000	    16.772
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_lib_row	  1	  3515067	 45013315	 10	  3381.399	     4.470	     0.000	333586.937	     0.000	    16.774
wikipedia-20070206.mtx.el_gz  	    kern_rank_omp_def_col	  1	  3515067	 45013315	 10	  3612.949	    18.328	     0.000	358765.864	     0.000	     0.000
wikipedia-20070206.mtx.el_gz  	    kern_rank_omp_stp_col	  1	  3515067	 45013315	 10	  1271.196	    21.927	     0.000	124245.607	     0.000	     0.000
wikipedia-20070206.mtx.el_gz  	    kern_rank_omp_bin_col	  1	  3515067	 45013315	 10	   516.612	    21.363	     0.000	 48831.383	     0.000	     0.000
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_def_col	  1	  3515067	 45013315	 10	   729.194	     0.992	     0.000	 63245.882	     0.000	    79.424
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_stp_col	  1	  3515067	 45013315	 10	   356.539	     1.138	     0.000	 25839.549	     0.000	    79.876
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_wrp_col	  1	  3515067	 45013315	 10	   245.966	     1.139	     0.000	 15216.498	     0.000	    75.538
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_dyn_col	  1	  3515067	 45013315	 10	   284.856	     1.136	     0.000	 19096.634	     0.000	    75.637
wikipedia-20070206.mtx.el_gz  	    kern_rank_cud_lib_col	  1	  3515067	 45013315	 10	   582.857	     3.786	     0.000	 47598.608	     0.000	    77.994
as-Skitter.mtx.el_gz          	    kern_rank_omp_def_row	  1	  1696415	 22190596	 10	   903.217	     9.109	     0.000	 89025.844	     0.000	     0.000
as-Skitter.mtx.el_gz          	    kern_rank_omp_stp_row	  1	  1696415	 22190596	 10	   938.669	    17.026	     0.000	 91598.059	     0.000	     0.000
as-Skitter.mtx.el_gz          	    kern_rank_omp_bin_row	  1	  1696415	 22190596	 10	   379.649	    10.654	     0.000	 36522.584	     0.000	     0.000
as-Skitter.mtx.el_gz          	    kern_rank_cud_def_row	  1	  1696415	 22190596	 10	    80.147	     0.765	     0.000	  6342.525	     0.000	     8.263
